"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","Обновление имени и статуса питомца через form-data (POST /pet/{petId})","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
"","260","Создание питомца и получение его по id","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
"","29","Поиск питомцев по статусу 'pending'","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
"","320","Кнопка 'Clear completed' убирает выполненные задачи из списка","tests.ui","2026-09-22","passed","2026-09-22","TestTodoMvcUi","test_todomvc_ui","",""
"","112","Обновление данных питомца через PUT","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
"","293","Фильтр 'Active' показывает только невыполненные задачи","tests.ui","2026-09-22","passed","2026-09-22","TestTodoMvcUi","test_todomvc_ui","",""
"","77","Поиск питомцев по статусу 'available'","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
"","302","Добавление новой задачи в список","tests.ui","2026-09-22","passed","2026-09-22","TestTodoMvcUi","test_todomvc_ui","",""
"","27","Запрос несуществующего питомца возвращает 404","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
"","324","Удаление задачи из списка","tests.ui","2026-09-22","passed","2026-09-22","TestTodoMvcUi","test_todomvc_ui","",""
"","53","Поиск питомцев сразу по нескольким статусам","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
"","244","Добавление нескольких задач подряд","tests.ui","2026-09-22","passed","2026-09-22","TestTodoMvcUi","test_todomvc_ui","",""
"","307","Фильтр 'Completed' показывает только выполненные задачи","tests.ui","2026-09-22","passed","2026-09-22","TestTodoMvcUi","test_todomvc_ui","",""
"","262","Отметка задачи как выполненной","tests.ui","2026-09-22","passed","2026-09-22","TestTodoMvcUi","test_todomvc_ui","",""
"","82","Удаление питомца и проверка, что он больше не доступен","tests.api","2026-09-22","passed","2026-09-22","TestPetstoreApi","test_petstore_api","",""
